epoch,step,train_loss
0,49,nan
1,99,nan
1,149,nan
2,199,nan
2,249,nan
3,299,nan
3,349,nan
4,399,nan
4,449,nan
5,499,nan
5,549,nan
6,599,nan
6,649,nan
7,699,nan
7,749,nan
8,799,nan
8,849,nan
9,899,nan
9,949,nan
10,999,nan
10,1049,nan
11,1099,nan
11,1149,nan
12,1199,nan
12,1249,nan
13,1299,nan
13,1349,nan
14,1399,nan
14,1449,nan
15,1499,nan
15,1549,nan
16,1599,nan
16,1649,nan
17,1699,nan
17,1749,nan
18,1799,nan
18,1849,nan
19,1899,nan
19,1949,nan
20,1999,nan
20,2049,nan
21,2099,nan
21,2149,nan
22,2199,nan
22,2249,nan
23,2299,nan
23,2349,nan
24,2399,nan
24,2449,nan
25,2499,nan
26,2549,nan
26,2599,nan
27,2649,nan
27,2699,nan
28,2749,nan
28,2799,nan
29,2849,nan
29,2899,nan
30,2949,nan
30,2999,nan
31,3049,nan
31,3099,nan
32,3149,nan
32,3199,nan
33,3249,nan
33,3299,nan
34,3349,nan
34,3399,nan
35,3449,nan
35,3499,nan
36,3549,nan
36,3599,nan
37,3649,nan
37,3699,nan
38,3749,nan
38,3799,nan
39,3849,nan
39,3899,nan
40,3949,nan
40,3999,nan
41,4049,nan
41,4099,nan
42,4149,nan
42,4199,nan
43,4249,nan
43,4299,nan
44,4349,nan
44,4399,nan
45,4449,nan
45,4499,nan
46,4549,nan
46,4599,nan
47,4649,nan
47,4699,nan
48,4749,nan
48,4799,nan
49,4849,nan
49,4899,nan
